Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,0487232105091282","-5,37824504816871E-18","-0,0118259744664555",0,0,0,"0,0034973712165487","5,20346178705524E-07","7,69640967170829E-23","4,8723608968141E-23","2,48416312565321E-07","-5,06082215972284E-23","6,59980876650952E-07",0,0,0,0,0,0,package://butter_robot_v2/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://butter_robot_v2/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_Link_1,"0,00580202353065885","5,20417042793042E-18",0,0,0,0,"0,000683833835739056","1,40180766956566E-08","-7,28605191563402E-26","4,20383474979454E-25","8,69990825940298E-09","-5,49299625523495E-26","8,69990825940298E-09",0,0,0,0,0,0,package://butter_robot_v2/meshes/wheel_Link_1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://butter_robot_v2/meshes/wheel_Link_1.STL,,roda-3;eixo-3,Origin_wheel_right_front,Axis_wheel_right_front,wheel_right_front,continuous,"-0,0577232105091282","-0,00799999999999999","-0,0135822784810127","1,56938291651632",0,"3,14159265358979",base_link,1,0,0,,,,,,,,,,,,
wheel_Link_2,"0,00580202353065885","6,93889390390723E-18",0,0,0,0,"0,000683833835739056","1,40180766956566E-08","4,07418770721579E-26","-1,97837744102725E-26","8,69990825940298E-09","-4,79459140047986E-27","8,69990825940298E-09",0,0,0,0,0,0,package://butter_robot_v2/meshes/wheel_Link_2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://butter_robot_v2/meshes/wheel_Link_2.STL,,roda-4;eixo-4,Origin_wheel_right_back,Axis_wheel_right_back,wheel_right_back,continuous,"-0,0577232105091282","0,00800000000000001","-0,0135822784810127","1,5707963267949",0,"3,14159265358979",base_link,1,0,0,,,,,,,,,,,,
wheel_Link_3,"-0,00269797646934115","3,46944695195361E-18",0,0,0,0,"0,000683833835739055","1,40180766956566E-08","-6,30620677877619E-26","1,97310294333372E-25","8,69990825940297E-09","8,27988406119974E-25","8,69990825940297E-09",0,0,0,0,0,0,package://butter_robot_v2/meshes/wheel_Link_3.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://butter_robot_v2/meshes/wheel_Link_3.STL,,roda-1;eixo-1,Origin_wheel_left_front,Axis_wheel_left_front,wheel_left_front,continuous,"-0,0312232105091282","-0,00799999999999999","-0,0135822784810127","1,57220973707347",0,0,base_link,1,0,0,,,,,,,,,,,,
wheel_Link_4,"-0,00269797646934115","3,46944695195361E-18",0,0,0,0,"0,000683833835739055","1,40180766956566E-08","-4,74613062424027E-27","-2,7704806913854E-26","8,69990825940297E-09","9,60937764013461E-28","8,69990825940297E-09",0,0,0,0,0,0,package://butter_robot_v2/meshes/wheel_Link_4.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://butter_robot_v2/meshes/wheel_Link_4.STL,,roda-2;eixo-2,Origin_wheel_left_back,Axis_wheel_left_back,wheel_left_back,continuous,"-0,0312232105091282","0,00800000000000001","-0,0135822784810127","1,5707963267949",0,0,base_link,1,0,0,,,,,,,,,,,,
body_Link,"-0,0140672325960871","-0,0320785135940926","-0,00208481753621507",0,0,0,"0,0127431329836156","1,26968265952612E-06","3,02902040990022E-09","3,8403200535179E-11","1,28048557499872E-06","-1,05212136210703E-08","1,70855532641506E-06",0,0,0,0,0,0,package://butter_robot_v2/meshes/body_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://butter_robot_v2/meshes/body_Link.STL,,segunda_junta-1;primeira_junta-1;back head-1;Front head-1;fio_amarelo-1;fio_vermelho-1;led-1;Peça2^butter_robot-1;Peça1^butter_robot-1;pin_join-1,Origin_body2,Axis_body2,body,continuous,"-0,0349732105091282",0,"0,000417721518987318","-1,58560758722881",0,0,base_link,1,0,0,,,,,,,,,,,,
right_arm_Link,"0,00200212954468117","-0,0158190795000211","-0,00299718317271274",0,0,0,"0,000627506454434052","2,36680647208694E-08","-2,80967748338719E-10","-5,47833165126233E-11","3,34542222546291E-09","-3,62580537916178E-09","2,17089060625663E-08",0,0,0,0,0,0,package://butter_robot_v2/meshes/right_arm_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://butter_robot_v2/meshes/right_arm_Link.STL,,arm-3;hand-3;garra-3;pin_garra-2;pin_arm-2,Origin_right_arm,Axis_right_arm,right_arm,continuous,"-0,0285","-0,0354262807909886","0,00125","-0,227945600217958",0,"3,14159265358979",body_Link,1,0,0,,,,,,,,,,,,
right_shoulder_Link,"3,64810401316806E-06","0,0120826891216374","0,00235589239828446",0,0,0,"0,000366300694171296","1,9616555656272E-08","-2,80967748338718E-10","-5,4783316512623E-11","2,42760026770147E-09","-3,10066525054526E-09","1,77254432409598E-08",0,0,0,0,0,0,package://butter_robot_v2/meshes/right_shoulder_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://butter_robot_v2/meshes/right_shoulder_Link.STL,,arm-3,Origin_right_shoulder,Axis_right_shoulder,right_shoulder,fixed,"0,002","-0,0196854653686963","-0,00383828779768512",0,0,0,right_arm_Link,0,0,0,,,,,,,,,,,,
right_elbow_Link,"1,12757025938492E-17","-0,00612354471534082","-1,38777878078145E-17",0,0,0,"0,000222625340555313","3,88047932552135E-09","5,53177034644837E-24","1,17748888959594E-25","7,6269481701323E-10","1,03641274404643E-24","3,87588303334026E-09",0,0,0,0,0,0,package://butter_robot_v2/meshes/right_elbow_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://butter_robot_v2/meshes/right_elbow_Link.STL,,hand-3;pin_arm-2,Origin_right_elbow,Axis_right_elbow,right_elbow,fixed,0,0,0,"1,5707963267949","-1,409622985638","-1,5707963267949",right_shoulder_Link,0,0,0,,,,,,,,,,,,
right_hand_Link,0,"-0,00122214723202105","0,000231252080889962",0,0,0,"3,85804197074431E-05","1,75626031257094E-10","-2,84287539378873E-26","1,51381554780657E-27","6,74412852470547E-11","1,10795333563524E-11","1,90669351586239E-10",0,0,0,0,0,0,package://butter_robot_v2/meshes/right_hand_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://butter_robot_v2/meshes/right_hand_Link.STL,,garra-3;pin_garra-2,Origin_right_hand,Axis_right_hand,right_hand,fixed,"-1,15961164218492E-05","-0,0159999327627815",0,"3,12999627726406","-1,5707963267949",0,right_elbow_Link,0,0,0,,,,,,,,,,,,
