Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.012519,0.0034172,-4.3667E-18,0,0,0,0.0048494,3.0192E-07,-5.6467E-23,1.7173E-23,4.6603E-07,3.0537E-23,2.5641E-07,0,0,0,0,0,0,package://butter_v33/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://butter_v33/meshes/base_link.STL,,base-1;eixo-2;eixo-5;eixo-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
motor_esq_tras_link,0.003,1.8605E-15,1.1418E-14,0,0,0,0.00018313,1.7417E-09,-1.5376E-25,-4.2248E-25,1.3632E-09,2.3264E-25,1.3632E-09,0,0,0,0,0,0,package://butter_v33/meshes/motor_esq_tras_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://butter_v33/meshes/motor_esq_tras_link.STL,,roda-3,Origin_motor_esq_tras,Axis_motor_esq_tras,motor_esq_tras,continuous,0.022519,0.014,0.0026087,-1.2783,0,0,base_link,1,0,0,,,,,,,,,,,,
motor_esq_meio_link,0.003,-7.52978408791183E-16,-1.80411241501588E-16,0,0,0,0.000183131399115771,1.74169018722331E-09,4.09234713889621E-26,3.15518349274499E-25,1.36323911008934E-09,3.10192729707385E-25,1.36323911008934E-09,0,0,0,0,0,0,package://butter_v33/meshes/motor_esq_meio_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://butter_v33/meshes/motor_esq_meio_link.STL,,roda-2,Origin_motor_esq_meio,Axis_motor_esq_meio,motor_esq_meio,continuous,0.022519,0,0.0026087,2.9064,0,0,base_link,1,0,0,,,,,,,,,,,,
motor_esq_frente_Link,0.003,-3.73399228204008E-15,1.90993054705046E-15,0,0,0,0.000183131399115772,1.74169018722331E-09,2.72121110596452E-25,5.96562719095E-26,1.36323911008934E-09,2.58493941422821E-25,1.36323911008934E-09,0,0,0,0,0,0,package://butter_v33/meshes/motor_esq_frente_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://butter_v33/meshes/motor_esq_frente_Link.STL,,roda-1,Origin_motor_esq_frente,Axis_motor_esq_frente,motor_esq_frente,continuous,0.022519,-0.014,0.0026087,-1.2824,0,0,base_link,1,0,0,,,,,,,,,,,,
motor_dir_tras_link,-0.000481150670232955,-5.65519853168439E-15,-2.61075883134509E-15,0,0,0,0.000183131399115772,1.74169018722331E-09,1.6372969393684E-25,1.37242809988697E-25,1.36323911008934E-09,3.36042123849667E-25,1.36323911008933E-09,0,0,0,0,0,0,package://butter_v33/meshes/motor_dir_tras_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://butter_v33/meshes/motor_dir_tras_link.STL,,roda-10,Origin_motor_dir_tras,Axis_motor_dir_tras,motor_dir_tras,continuous,0,0.014,0.0026087,-1.8137,0,0,base_link,1,0,0,,,,,,,,,,,,
motor_dir_meio_link,-0.000481150670232952,-1.59746348094014E-15,-1.53631447841196E-15,0,0,0,0.000183131399115772,1.74169018722331E-09,-8.31633363248937E-26,-5.4242781285591E-26,1.36323911008934E-09,4.13590306276514E-25,1.36323911008934E-09,0,0,0,0,0,0,package://butter_v33/meshes/motor_dir_meio_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://butter_v33/meshes/motor_dir_meio_link.STL,,roda-11,Origin_motor_dir_meio,Axis_motor_dir_meio,motor_dir_meio,continuous,0,0,0.0026087,-0.76654,0,0,base_link,1,0,0,,,,,,,,,,,,
motor_dir_frente_link,-0.00048115067023296,3.04790914729125E-15,2.88311041707345E-15,0,0,0,0.000183131399115772,1.74169018722331E-09,-4.08804314539374E-25,9.96318723210213E-27,1.36323911008934E-09,5.16987882845642E-25,1.36323911008934E-09,0,0,0,0,0,0,package://butter_v33/meshes/motor_dir_frente_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://butter_v33/meshes/motor_dir_frente_link.STL,,roda-12,Origin_motor_dir_frente,Axis_motor_dir_frente,motor_dir_frente,continuous,0,-0.014,0.0026087,-2.5119,0,0,base_link,1,0,0,,,,,,,,,,,,
motor_base_link,0.0126163703657393,-0.0320016731668491,-0.00246282078418345,0,0,0,0.0124009744182285,1.25475340607901E-06,6.72027782410902E-09,1.05202199799677E-09,1.26692127915553E-06,-9.25613501252401E-09,1.68642011734325E-06,0,0,0,0,0,0,package://butter_v33/meshes/motor_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://butter_v33/meshes/motor_base_link.STL,,Second joint-1;First joint-1;Front head-2;back head-1,Origin_motor_base,Axis_motor_base,motor_base,continuous,0,0,0.015609,-1.5969,0,0,base_link,1,0,0,,,,,,,,,,,,
motor_ombro_dir_link,0.00148730045602078,-0.0082214441696226,-0.00159221455047252,0,0,0,0.000426617038477361,2.27702544704245E-08,-2.99500712883415E-10,-5.80031175899547E-11,2.83119823513615E-09,-3.58714763192266E-09,2.06588262402105E-08,0,0,0,0,0,0,package://butter_v33/meshes/motor_ombro_dir_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://butter_v33/meshes/motor_ombro_dir_link.STL,,arm-2,Origin_motor_ombro_dir,Axis_motor_ombro_dir,motor_ombro_dir,continuous,-0.0014838,-0.035426,0.00075,-0.11035,0,-3.1416,motor_base_link,1,0,0,,,,,,,,,,,,
motor_mao_dir_link,0,-0.009170088371685,-0.00156088656227564,0,0,0,0.000282173671532661,8.06424998618971E-09,2.09380092552485E-24,-3.99498943914048E-26,7.1848587185355E-10,-6.09023571688409E-25,8.33268958664053E-09,0,0,0,0,0,0,package://butter_v33/meshes/motor_mao_dir_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://butter_v33/meshes/motor_mao_dir_link.STL,,hand-2,Origin_motor_mao_dir,Axis_motor_mao_dir,motor_mao_dir,continuous,0,-0.020029,-0.0038789,1.5708,-0.5519,-1.5708,motor_ombro_dir_link,0,0,1,,,,,,,,,,,,
motor_ombro_esq_link,0.00148730045602078,-0.00822144416962261,-0.00159221455047252,0,0,0,0.000426617038477361,2.27702544704244E-08,-2.99500712883414E-10,-5.80031175899543E-11,2.83119823513614E-09,-3.58714763192265E-09,2.06588262402105E-08,0,0,0,0,0,0,package://butter_v33/meshes/motor_ombro_esq_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://butter_v33/meshes/motor_ombro_esq_link.STL,,arm-1,Origin_motor_ombro_esq_link,Axis_motor_ombro_esq_link,motor_ombro_esq_link,continuous,0.026516,-0.035426,0.00075,2.8504,0,0,motor_base_link,1,0,0,,,,,,,,,,,,
motor_mao_esq_link,-3.46944695195361E-18,-0.009170088371685,-0.00156088656227564,0,0,0,0.000282173671532661,8.0642499861897E-09,-1.008126371549E-24,6.98234600105972E-26,7.18485871853547E-10,-2.15995291301732E-24,8.33268958664052E-09,0,0,0,0,0,0,package://butter_v33/meshes/motor_mao_esq_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://butter_v33/meshes/motor_mao_esq_link.STL,,hand-1,Origin_motor_mao_esq,Axis_motor_mao_esq,motor_mao_esq,continuous,0,-0.020029,-0.0038789,-1.5708,-0.99863,1.5708,motor_ombro_esq_link,0,0,1,,,,,,,,,,,,
camera_link,-5.3544590432851E-07,0.00325324878272705,0.00993314928261171,0,0,0,0.0023883192065231,8.05658847190811E-08,-3.60188987486368E-12,-4.54081939252092E-12,8.05771037072277E-08,2.23570055561495E-11,6.72584956718303E-08,0,0,0,0,0,0,package://butter_v33/meshes/camera_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://butter_v33/meshes/camera_link.STL,,CAMERA PI COM LENTE-1,Origin_camera,,camera,fixed,0.012461,-0.032427,-0.01375,-3.1416,0,0.049075,motor_base_link,0,0,0,,,,,,,,,,,,
